Date,High,Close_1,Open_1,High_1,Low_1,Vol_1,Change_1,Close_2,Open_2,High_2,Low_2,Vol_2,Change_2,Close_3,Open_3,High_3,Low_3,Vol_3,Change_3,Close_4,Open_4,High_4,Low_4,Vol_4,Change_4,Close_5,Open_5,High_5,Low_5,Vol_5,Change_5
15/11/2021,4769.38,4625.59,4644.40,4692.76,4514.95,340960,-0.41,4644.61,4665.76,4705.02,4585.37,290270,-0.49,4667.31,4720.50,4807.16,4511.96,634590,-1.13,4720.87,4633.98,4778.17,4578.66,418610,1.87,4634.03,4731.83,4864.06,4498.78,761900,-2.07
14/11/2021,4692.76,4644.61,4665.76,4705.02,4585.37,290270,-0.49,4667.31,4720.50,4807.16,4511.96,634590,-1.13,4720.87,4633.98,4778.17,4578.66,418610,1.87,4634.03,4731.83,4864.06,4498.78,761900,-2.07,4731.83,4808.34,4836.69,4715.43,437410,-1.59
13/11/2021,4705.02,4667.31,4720.50,4807.16,4511.96,634590,-1.13,4720.87,4633.98,4778.17,4578.66,418610,1.87,4634.03,4731.83,4864.06,4498.78,761900,-2.07,4731.83,4808.34,4836.69,4715.43,437410,-1.59,4808.38,4612.05,4822.97,4612.05,673210,4.26
12/11/2021,4807.16,4720.87,4633.98,4778.17,4578.66,418610,1.87,4634.03,4731.83,4864.06,4498.78,761900,-2.07,4731.83,4808.34,4836.69,4715.43,437410,-1.59,4808.38,4612.05,4822.97,4612.05,673210,4.26,4612.06,4517.27,4634.39,4502.70,337810,2.10
11/11/2021,4778.17,4634.03,4731.83,4864.06,4498.78,761900,-2.07,4731.83,4808.34,4836.69,4715.43,437410,-1.59,4808.38,4612.05,4822.97,4612.05,673210,4.26,4612.06,4517.27,4634.39,4502.70,337810,2.10,4517.36,4475.00,4526.75,4330.29,442600,0.95
10/11/2021,4864.06,4731.83,4808.34,4836.69,4715.43,437410,-1.59,4808.38,4612.05,4822.97,4612.05,673210,4.26,4612.06,4517.27,4634.39,4502.70,337810,2.10,4517.36,4475.00,4526.75,4330.29,442600,0.95,4475.00,4534.96,4569.31,4439.67,409750,-1.33
9/11/2021,4836.69,4808.38,4612.05,4822.97,4612.05,673210,4.26,4612.06,4517.27,4634.39,4502.70,337810,2.10,4517.36,4475.00,4526.75,4330.29,442600,0.95,4475.00,4534.96,4569.31,4439.67,409750,-1.33,4535.11,4601.93,4604.83,4421.87,495860,-1.46
8/11/2021,4822.97,4612.06,4517.27,4634.39,4502.70,337810,2.10,4517.36,4475.00,4526.75,4330.29,442600,0.95,4475.00,4534.96,4569.31,4439.67,409750,-1.33,4535.11,4601.93,4604.83,4421.87,495860,-1.46,4602.21,4586.96,4661.88,4458.87,634680,0.35
7/11/2021,4634.39,4517.36,4475.00,4526.75,4330.29,442600,0.95,4475.00,4534.96,4569.31,4439.67,409750,-1.33,4535.11,4601.93,4604.83,4421.87,495860,-1.46,4602.21,4586.96,4661.88,4458.87,634680,0.35,4586.06,4320.85,4598.38,4287.36,630260,6.14
6/11/2021,4526.75,4475.00,4534.96,4569.31,4439.67,409750,-1.33,4535.11,4601.93,4604.83,4421.87,495860,-1.46,4602.21,4586.96,4661.88,4458.87,634680,0.35,4586.06,4320.85,4598.38,4287.36,630260,6.14,4320.85,4287.41,4376.94,4157.51,574260,0.78
